cnes,codufmun,cod_cep,cpf_cnpj,pf_pj,niv_dep,cnpj_man,cod_ir,regsaude,micr_reg,distrsan,distradm,vinc_sus,tpgestao,esfera_a,retencao,atividad,natureza,clientel,tp_unid,turno_at,niv_hier,tp_prest,co_banco,co_agenc,c_corren,contratm,dt_publm,contrate,dt_puble,alvara,dt_exped,orgexped,av_acred,clasaval,dt_acred,av_pnass,dt_pnass,gesprg1e,gesprg1m,gesprg2e,gesprg2m,gesprg4e,gesprg4m,nivate_a,gesprg3e,gesprg3m,gesprg5e,gesprg5m,gesprg6e,gesprg6m,nivate_h,qtleitp1,qtleitp2,qtleitp3,leithosp,qtinst01,qtinst02,qtinst03,qtinst04,qtinst05,qtinst06,qtinst07,qtinst08,qtinst09,qtinst10,qtinst11,qtinst12,qtinst13,qtinst14,urgemerg,qtinst15,qtinst16,qtinst17,qtinst18,qtinst19,qtinst20,qtinst21,qtinst22,qtinst23,qtinst24,qtinst25,qtinst26,qtinst27,qtinst28,qtinst29,qtinst30,atendamb,qtinst31,qtinst32,qtinst33,centrcir,qtinst34,qtinst35,qtinst36,qtinst37,centrobs,qtleit05,qtleit06,qtleit07,qtleit08,qtleit09,qtleit19,qtleit20,qtleit21,qtleit22,qtleit23,qtleit32,qtleit34,qtleit38,qtleit39,qtleit40,centrneo,atendhos,serap01p,serap01t,serap02p,serap02t,serap03p,serap03t,serap04p,serap04t,serap05p,serap05t,serap06p,serap06t,serap07p,serap07t,serap08p,serap08t,serap09p,serap09t,serap10p,serap10t,serap11p,serap11t,serapoio,res_biol,res_quim,res_radi,res_comu,coletres,comiss01,comiss02,comiss03,comiss04,comiss05,comiss06,comiss07,comiss08,comiss09,comiss10,comiss11,comiss12,comissao,ap01cv01,ap01cv02,ap01cv05,ap01cv06,ap01cv03,ap01cv04,ap02cv01,ap02cv02,ap02cv05,ap02cv06,ap02cv03,ap02cv04,ap03cv01,ap03cv02,ap03cv05,ap03cv06,ap03cv03,ap03cv04,ap04cv01,ap04cv02,ap04cv05,ap04cv06,ap04cv03,ap04cv04,ap05cv01,ap05cv02,ap05cv05,ap05cv06,ap05cv03,ap05cv04,ap06cv01,ap06cv02,ap06cv05,ap06cv06,ap06cv03,ap06cv04,ap07cv01,ap07cv02,ap07cv05,ap07cv06,ap07cv03,ap07cv04,atend_pr,dt_atual,competen,nat_jur
2713136,260005,53550150,00000000000000,3,3,08637373000180,,0001,0001,,,1,M,,,04,,03,36,03,,99,,,,,,,,,,2,,,,,,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,201710,201802,1244
2713543,260005,53540010,00000000000000,3,3,08637373000180,,0001,,,,1,M,,,04,,01,02,03,,99,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,201704,201802,1244
2713551,260005,53545040,00000000000000,3,3,08637373000180,,0001,,,,1,M,,,04,,01,02,03,,99,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,201704,201802,1244
2713578,260005,99999999,00000000000000,3,3,08637373000180,,0001,,,,1,M,,,04,,01,02,03,,99,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,201704,201802,1244
2713594,260005,53550150,00000000000000,3,3,08637373000180,,0001,,,,1,M,,,04,,01,02,03,,99,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,201603,201802,1244
2713608,260005,53510470,00000000000000,3,3,08637373000180,,0001,,,,1,M,,,04,,01,02,03,,99,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,201710,201802,1244
2713616,260005,53580720,00000000000000,3,3,08637373000180,,0001,,,,1,M,,,04,,01,02,03,,99,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,201710,201802,1244
2713624,260005,53510470,00000000000000,3,3,08637373000180,,0001,,,,1,M,,,04,,01,02,03,,99,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,201704,201802,1244
2713632,260005,53550797,00000000000000,3,3,08637373000180,,0001,,,,1,M,,,04,,01,02,03,,99,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,201704,201802,1244
2713705,260005,53520130,00000000000000,3,3,08637373000180,,0001,,,,1,M,,,04,,01,02,03,,99,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,201802,201802,1244
